春秋	左傳
立	臧為
臧紇	致
致	防
防	而
而	奔
奔	齊
其	人
人	曰
其	盟
盟	我
我	乎
臧孫	曰
將	盟
盟	臧氏
季孫	召
召	外史
外史	掌
掌	惡
惡	臣
臣	而
而	問
問	盟首
盟首	焉
對	曰
盟	東門氏
東門氏	也
毋	或
或	如
如	東門遂
東門遂	不
不	聽
聽	公命
殺	適
適	立
立	庶
盟	叔孫氏
叔孫氏	也
毋	或
或	如
如	叔孫僑如
叔孫僑如	欲
欲	廢
廢	國常
蕩覆	公室
季孫	曰
臧孫	之
之	罪
罪	皆
皆	不
不	及
及	此
孟椒	曰
盍	以
以	其
其	犯門
犯門	斬關
季孫	用
用	之
乃	盟
盟	臧氏
毋	或
或	如
如	臧孫紇
臧孫紇	干
干	國
國	之
之	紀
犯門	斬關
臧孫	聞
聞	之
國	有
有	人
人	焉
誰	居
其	孟椒
孟椒	乎
晉人	克
克	欒盈
欒盈	于
于	曲沃
盡	殺
殺	欒氏
欒氏	之
之	族黨
欒魴	出奔
出奔	宋
書	曰
晉人	殺
殺	欒盈
不	言
言	大夫
言	自
自	外
外	也
齊侯	還
還	自
自	晉
不	入
遂	襲
襲	莒
門	于
于	且于
傷	股
股	而
而	退
將	復
復	戰
期	于
于	壽舒
華還	載
載	甲
甲	夜
夜	入
入	且于
且于	之
之	隧
宿	於
於	莒
莒	郊
先	遇
遇	莒子
莒子	於
於	蒲侯氏
莒子	重賂
重賂	之
使	無死
請	有
有	盟
華周	對
對	曰
貪貨	棄命
亦	君
君	所
所	惡
惡	也
昏	而
而	受命
日	未
未	中
中	而
而	棄
棄	之
何以	事
事	君
莒子	親
親	鼓
鼓	之
從	而
而	伐
伐	之
獲	杞梁
莒人	行成
齊侯	歸
遇	杞梁
杞梁	之
之	妻
妻	於
於	郊
使	吊
吊	之
辭	曰
殖	之
之	有
有	罪
何	辱命
辱命	焉
若	免
免	於
於	罪
猶	有
有	先人
先人	之
之	敝廬
敝廬	在
下妾	不得
不得	與
與	郊
郊	吊
齊侯	吊
吊	諸
諸	其
其	室
齊侯	將
將	為
為	臧紇
臧紇	田
臧孫	聞
聞	之
見	齊侯
與	之
之	言
言	伐
伐	晉
對	曰
多	則
則	多
多	矣
抑	君
君	似
似	鼠
夫	鼠
晝伏	夜
夜	動
不	穴
穴	於
於	寢廟
畏	人
人	故
故	也
今	君
君	聞
聞	晉
晉	之
之	亂
亂	而後
而後	作
作	焉
寧	將事
將事	之
非	鼠
鼠	如何
乃	弗
弗	與
與	田
仲尼	曰
知	之
之	難
難	也
有	臧武仲
臧武仲	之
之	知
而	不
不	容
容	於
於	魯國
抑	有
有	由
由	也
作	不順
不順	而
而	施
施	不
不	恕
恕	也
夏書	曰
念	茲
茲	在
在	茲
恕	施
施	也
穆叔	如
如	晉
范宣子	逆
逆	之
問	焉
古人	有
有	言
言	曰
死	而
而	不朽
何	謂
謂	也
穆叔	未
未	對
宣子	曰
昔	丐
丐	之
之	祖
自	虞
虞	以上
以上	為
為	陶唐氏
在	夏
夏	為
為	御龍氏
在	商
商	為
為	豕韋氏
在	周
周	為
為	唐杜氏
晉	主
主	夏盟
夏盟	為
為	范氏
其	是
是	之
之	謂
謂	乎
穆叔	曰
以	豹
豹	所
所	聞
此	之
之	謂
謂	世祿
非	不朽
不朽	也
魯	有
有	先大夫
先大夫	曰
曰	臧文仲
既	沒
其	言
言	立
其	是
是	之
之	謂
謂	乎
豹	聞
聞	之
大上	有
有	立德
其次	有
有	立功
其次	有
有	立言
雖	久
久	不
不	廢
此	之
之	謂
謂	不朽
若夫	保
保	姓
姓	受
受	氏
以	守
守	宗祊
世	不
不	絕
絕	祀
無	國
國	無
無	之
祿	之
之	大
大	者
不可	謂
謂	不朽
范宣子	為
為	政
諸侯	之
之	幣
幣	重
鄭人	病
病	之
鄭伯	如
如	晉
子產	寓書
寓書	於
於	子西
以	告
告	宣子
子	為
為	晉國
四鄰	諸侯
諸侯	不
不	聞
聞	令德
而	聞
聞	重幣
僑	也
也	惑
惑	之
僑	聞
聞	君子
君子	長
長	國家
國家	者
非	無
無	賄
賄	之
之	患
而	無
無	令名
令名	之
之	難
夫	諸侯
諸侯	之
之	賄
賄	聚
聚	於
於	公室
則	諸侯
諸侯	貳
若	吾子
吾子	賴
賴	之
則	晉國
晉國	貳
諸侯	貳
則	晉國
晉國	壞
晉國	貳
則	子
子	之
之	家
家	壞
何	沒
沒	沒
沒	也
將	焉
焉	用
用	賄
夫	令名
德	之
之	輿
輿	也
國家	之
之	基
基	也
有	基
基	無
無	壞
無亦	是
是	務
務	乎
有	德
德	則
則	樂
樂	則
則	能
能	久
樂	君子
邦家	之
之	基
有	令德
令德	也夫
上帝	臨
臨	女
無	貳
貳	爾
爾	心
有	令名
令名	也夫
恕思	以
以	明德
則	令名
令名	載
載	而
而	行
行	之
是以	遠至
遠至	邇
邇	安
毋寧	使
使	人
人	謂
謂	子
子	實
實	生
生	我
而	謂
子	浚
浚	我
我	以
以	生
象	有
有	齒
齒	以
以	焚
焚	其
其	身
賄	也
宣子	說
乃	輕
輕	幣
是	行
行	也
鄭伯	朝
朝	晉
為	重幣
重幣	故
且	請
請	伐
伐	陳
陳	也
鄭伯	稽首
宣子	辭
子西	相
以	陳國
陳國	之
之	介
介	恃
恃	大國
而	陵虐
陵虐	於
於	敝邑
寡君	是以
是以	請
請	請罪
請罪	焉
敢	不
不	稽首
孟孝伯	侵
侵	齊
晉	故
故	也
楚子	為
為	舟師
舟師	以
以	伐
伐	吳
不	為
為	軍政
無功	而
而	還
齊侯	既
既	伐
伐	晉
晉	而
而	懼
將	欲
欲	見
見	楚子
楚子	使
使	薳啟強
薳啟強	如
如	齊
齊	聘
且	請期
齊	社
搜	軍實
使	客
客	觀
觀	之
陳文子	曰
齊	將
將	有
有	寇
吾	聞
聞	之
兵	不戢
必	取
取	其
其	族
齊侯	聞
聞	將
將	有
有	晉師
使	陳無宇
陳無宇	從
從	薳啟強
薳啟強	如
如	楚
且	乞師
崔杼	帥
帥	師
師	送
送	之
遂	伐
伐	莒
侵	介根
會	于
于	夷儀
將	以
以	伐
伐	齊
楚子	伐
伐	鄭
鄭	以
以	救
救	齊
門	于
于	東門
次	于
于	棘澤
諸侯	還
還	救
救	鄭
晉侯	使
使	張骼
輔躒	致
致	楚師
求	御
御	于
于	鄭
鄭人	卜
卜	宛射犬
子大叔	戒
戒	之
之	曰
大國	之
之	人
人	不可
不可	與
與	也
對	曰
無有	眾
眾	寡
其	上
上	一
一	也
大叔	曰
部婁	無
無	松柏
二	子
子	在
在	幄
坐	射犬
射犬	于
于	外
既	食
而後	食
食	之
使	御
御	廣車
廣車	而
而	行
己	皆
皆	乘
乘	乘車
將	及
及	楚師
而後	從
從	之
之	乘
皆	踞
踞	轉
轉	而
而	鼓琴
不	告
告	而
而	馳
馳	之
皆	取
取	胄
胄	於
於	櫜
櫜	而
而	胄
入	壘
皆	下
搏	人
人	以
以	投
收禽	挾
挾	囚
弗	待
待	而
而	出
皆	超乘
抽	弓
弓	而
而	射
既	免
復	踞
踞	轉
轉	而
而	鼓琴
同	乘
兄弟	也
胡	再
再	不
不	謀
對	曰
曩	者
者	志
志	入
入	而已
今	則
則	怯
怯	也
皆	笑
公孫	之
之	亟
亟	也
楚子	自
自	棘澤
棘澤	還
使	薳啟強
薳啟強	帥
帥	師
師	送
送	陳無宇
吳人	為
為	楚
楚	舟師
舟師	之
之	役
役	故
召	舒鳩
舒鳩	人
舒鳩	人
人	叛
叛	楚
楚子	師
師	于
于	荒浦
使	沈尹壽
沈尹壽	與
與	師祁犁
師祁犁	讓
讓	之
舒鳩子	敬
敬	逆
逆	二
二	子
而	告
告	無
無	之
且	請
請	受
受	盟
二	子
子	復命
王	欲
欲	伐
伐	之
薳子	曰
彼	告
告	不
不	叛
且	請
請	受
受	盟
而	又
又	伐
伐	之
伐	無罪
無罪	也
姑	歸
歸	息
息	民
以	待
待	其
其	卒
卒	而
而	不貳
吾	又
又	何
何	求
若	猶
猶	叛
叛	我
有	庸
乃	還
陳人	復
復	討
討	慶氏
慶氏	之
之	黨
鍼宜咎	出奔
出奔	楚
齊人	城
城	郟
穆叔	如
如	周
周	聘
且	賀
賀	城
王	嘉
嘉	其
其	有
有	禮
禮	也
賜	之
之	大路
晉侯	嬖
嬖	程鄭
使	佐
佐	下軍
鄭	行人
行人	公孫揮
公孫揮	如
如	晉
晉	聘
程鄭	問
問	焉
敢	問
問	降階
降階	何由
子羽	不能
不能	對
歸	以
以	語
語	然明
然明	曰
是	將
將	死
死	矣
將	亡
貴	而
而	知
知	懼
懼	而
而	思
思	降
乃	得
得	其
其	階
下人	而已
又	何
何	問
問	焉
且夫	既
既	登
登	而
而	求
求	降階
降階	者
知人	也
不	在
在	程鄭
其	有
有	亡
亡	釁
釁	乎
其	有
有	惑疾
將	死
死	而
而	憂
憂	也
齊	崔杼
崔杼	帥
帥	師
師	伐
伐	我
我	北鄙
以	報
報	孝伯
孝伯	之
之	師
師	也
公	患
患	之
使	告
告	于
于	晉
孟公綽	曰
崔子	將
將	有
有	大志
不	在
在	病
病	我
必	速
速	歸
何	患
患	焉
其	來
來	也
也	不
不	寇
使民	不
不	嚴
異	於
於	他日
齊師	徒
徒	歸
齊棠公	之
之	妻
東郭偃	之
之	姊
姊	也
東郭偃	臣
臣	崔武子
棠公	死
偃	御
御	武子
武子	以
以	吊
吊	焉
見	棠姜
棠姜	而
而	美
美	之
使	偃
偃	取
取	之
偃	曰
男女	辨
辨	姓
今	君
君	出
出	自
自	丁
臣	出
出	自
自	桓
武子	筮
筮	之
遇	困
困	之
之	大過
史	皆
皆	曰
示	陳文子
文子	曰
夫	從
從	風
風	隕
隕	妻
不可	娶
娶	也
且	其
其	繇
繇	曰
困	于
于	石
據	于
于	蒺梨
入	于
于	其
其	宮
不	見
見	其
其	妻
困	于
于	石
往	不濟
不濟	也
據	于
于	蒺梨
所	恃
恃	傷
傷	也
入	于
于	其
其	宮
不	見
見	其
其	妻
無所	歸
歸	也
崔子	曰
嫠	也
何	害
先夫	當
當	之
之	矣
遂	取
取	之
莊公	通
通	焉
驟	如
如	崔氏
以	崔子
崔子	之
之	冠
冠	賜
賜	人
侍者	曰
公	曰
不	為
為	崔子
其	無
無	冠
冠	乎
崔子	因
因	是
又	以
以	其
其	間
間	伐
伐	晉
晉	也
晉	必
必	將
將	報
欲	弒
弒	公
公	以
以	說
說	于
于	晉
而	不獲
不獲	間
公	鞭
鞭	侍人
侍人	賈舉
而	又
又	近
近	之
乃	為
為	崔子
崔子	間
間	公
莒	為
為	且于
且于	之
之	役
役	故
莒子	朝
朝	于
于	齊
饗	諸
諸	北郭
崔子	稱疾
不	視事
公	問
問	崔子
遂	從
從	姜氏
姜	入
入	于
于	室
與	崔子
崔子	自
自	側
側	戶
戶	出
公	拊
拊	楹
楹	而
而	歌
侍人	賈舉
賈舉	止
止	眾
眾	從者
從者	而
而	入
閉	門
甲	興
公	登臺
登臺	而
而	請
弗	許
請	盟
弗	許
請	自刃
自刃	於
於	廟
弗	許
皆	曰
君	之
之	臣
臣	杼
杼	疾病
不能	聽命
近	於
於	公宮
陪臣	干掫
干掫	有
有	淫
淫	者
不	知
知	二
二	命
公	逾
逾	墻
又	射
射	之
中	股
反	隊
遂	弒
弒	之
僂堙	皆
皆	死
祝佗父	祭
祭	於
於	高唐
至	復命
不	說
說	弁
弁	而
而	死
死	於
於	崔氏
侍漁	者
謂	其
其	宰
宰	曰
爾	以
以	帑
帑	免
我	將
將	死
其	宰
宰	曰
是	反
反	子
子	之
之	義
義	也
與	之
之	皆
皆	死
崔氏	殺
殺	鬷蔑
鬷蔑	于
于	平陰
晏子	立
立	於
於	崔氏
崔氏	之
之	門
門	外
其	人
人	曰
死	乎
獨	吾
吾	君
君	也
也	乎哉
吾	死
死	也
行	乎
吾	罪
罪	也
也	乎哉
吾	亡
亡	也
歸	乎
君	死
安	歸
君	民
民	者
豈	以
以	陵
陵	民
社稷	是
是	主
臣	君
君	者
豈	為
為	其
其	口實
社稷	是
是	養
故	君
君	為
為	社稷
社稷	死
則	死
死	之
為	社稷
社稷	亡
則	亡
亡	之
若	為
為	己
己	死
而	為
為	己
己	亡
非	其
其	私昵
誰	敢
敢	任
任	之
且	人
人	有
有	君
君	而
而	弒
弒	之
吾	焉
焉	得
得	死
死	之
而	焉
焉	得
得	亡
亡	之
將	庸何
庸何	歸
門	啟
啟	而
而	入
枕	尸股
尸股	而
而	哭
三	踴
踴	而
而	出
人	謂
謂	崔子
崔子	必
必	殺
殺	之
崔子	曰
民	之
之	望
望	也
舍	之
盧蒲癸	奔
奔	晉
王何	奔
奔	莒
叔孫宣伯	之
之	在
在	齊
齊	也
叔孫還	納
納	其
其	女
女	於
於	靈公
生	景公
崔杼	立
立	而
而	相
相	之
慶封	為
為	左相
盟	國人
國人	於
於	大宮
所	不
不	與
與	崔
慶	者
晏子	仰天
仰天	嘆
嘆	曰
嬰	所
所	不
不	唯
唯	忠
忠	於
於	君
利	社稷
社稷	者
者	是
是	與
有如	上帝
乃	歃
公	與
與	大夫
大夫	及
及	莒子
莒子	盟
大史	書
書	曰
崔杼	弒
弒	其
其	君
崔子	殺
殺	之
其	弟
弟	嗣
嗣	書
而	死
死	者
者	二
二	人
其	弟
弟	又
又	書
乃	舍
舍	之
南史氏	聞
聞	大史
大史	盡
盡	死
執簡	以
以	往
聞	既
既	書
書	矣
乃	還
閭丘嬰	以
以	帷
帷	縛
縛	其
其	妻
妻	而
而	載
載	之
與	申鮮虞
申鮮虞	乘
乘	而
而	出
鮮虞	推
推	而
而	下
下	之
君	昏
昏	不能
不能	匡
危	不能
不能	救
死	不
不	能
能	死
而	知
知	匿
匿	其
其	昵
其	誰
誰	納
納	之
行	及
及	弇中
將	舍
嬰	曰
慶	其
其	追
追	我
鮮虞	曰
一	與
與	一
誰	能
能	懼
懼	我
遂	舍
枕	轡
轡	而
而	寢
食馬	而
而	食
駕	而
而	行
出	弇中
謂	嬰
嬰	曰
速	驅
驅	之
慶	之
之	眾
不可	當
當	也
遂	來
來	奔
崔氏	側
側	莊公
莊公	于
于	北郭
葬	諸
諸	士孫之里
四	翣
不	蹕
下車	七
七	乘
不	以
以	兵甲
晉侯	濟
濟	自
自	泮
會	于
于	夷儀
伐	齊
以	報
報	朝歌
朝歌	之
之	役
齊人	以
以	莊公
莊公	說
使	隰鉏
隰鉏	請成
慶封	如
如	師
男女	以
以	班
賂	晉侯
晉侯	以
以	宗器
自	六正
三十	帥
三軍	之
之	大夫
百官	之
之	正長
正長	師旅
師旅	及
及	處守
處守	者
者	皆
皆	有
有	賂
晉侯	許
許	之
使	叔向
叔向	告
告	於
於	諸侯
公	使
使	子服惠伯
子服惠伯	對
對	曰
君	舍
舍	有罪
以	靖
靖	小國
君	之
之	惠
惠	也
寡君	聞命
聞命	矣
晉侯	使
使	魏舒
宛沒	逆
逆	衛侯
將	使
使	衛
衛	與
與	之
之	夷儀
崔子	止
止	其
其	帑
以	求
求	五鹿
陳侯	會
會	楚子
楚子	伐
伐	鄭
當	陳
陳	隧
隧	者
井堙	木
木	刊
鄭人	怨
怨	之
鄭	子展
子產	帥
帥	車
車	七百
七百	乘
乘	伐
伐	陳
宵	突
突	陳城
遂	入
入	之
陳侯	扶
扶	其
其	太子
太子	偃師
偃師	奔
奔	墓
遇	司馬桓子
載	餘
將	巡城
遇	賈獲
載	其
其	母妻
下	之
而	授
授	公車
公	曰
舍	而
而	母
辭	曰
與	其
其	妻
妻	扶
扶	其
其	母
母	以
以	奔
奔	墓
亦	免
子展	命
命	師
師	無
無	入
入	公宮
與	子產
子產	親
親	御
御	諸
諸	門
陳侯	使
使	司馬桓子
司馬桓子	賂
賂	以
以	宗器
陳侯	免
使	其
其	眾
眾	男女
男女	別
別	而
而	纍
以	待
待	於
於	朝
子展	執
執	縶
縶	而
而	見
再拜	稽首
稽首	承
承	飲
飲	而
而	進獻
子美	入
數	俘
俘	而
而	出
祝	祓社
司徒	致
致	民
司馬	致
致	節
司空	致
致	地
乃	還
七月	己巳
同盟	于
于	重丘
齊	成
成	故
故	也
趙文子	為
為	政
令	薄
薄	諸侯
諸侯	之
之	幣
而	重
重	其
其	禮
穆叔	見
見	之
謂	穆叔
穆叔	曰
自	今
今	以往
兵	其
其	少
少	弭
弭	矣
齊	崔
慶	新
新	得政
將	求
求	善
善	於
於	諸侯
武	也
也	知
知	楚
楚	令尹
若	敬
敬	行
行	其
其	禮
道	之
之	以
以	文辭
以	靖
靖	諸侯
兵	可以
可以	弭
楚	薳子馮
薳子馮	卒
屈建	為
為	令尹
屈蕩	為
為	莫敖
舒鳩	人
人	卒
卒	叛
楚	令尹子木
令尹子木	伐
伐	之
及	離城
吳人	救
救	之
子木	遽
遽	以
以	右師
右師	先
子盂	帥
帥	左師
左師	以
以	退
吳人	居
居	其
其	間
間	七
七	日
子強	曰
久	將
將	墊隘
隘	乃
乃	禽
禽	也
不如	速戰
請	以
以	其
其	私卒
私卒	誘
誘	之
簡	師
陳	以
以	待
待	我
我	克
克	則
則	進
奔	則
則	亦
亦	視
視	之
乃	可以
可以	免
必	為
為	吳
吳	禽
從	之
五	人
人	以
以	其
其	私卒
私卒	先
先	擊
擊	吳師
吳師	奔
登山	以
以	望
見	楚師
楚師	不
不	繼
復	逐
逐	之
傅	諸
諸	其
其	軍
簡	師
師	會
會	之
吳師	大敗
遂	圍
圍	舒鳩
舒鳩	潰
楚	滅
滅	舒鳩
衛獻公	入
入	于
于	夷儀
鄭	子產
子產	獻捷
獻捷	于
于	晉
戎服	將事
晉人	問
問	陳
陳	之
之	罪
對	曰
昔	虞閼父
虞閼父	為
為	周
周	陶正
以	服事
服事	我
我	先王
我	先王
先王	賴
賴	其
其	利
利	器用
器用	也
與	其
其	神明
神明	之
之	後
後	也
庸	以
以	元女
元女	大姬
大姬	配
配	胡公
而	封
封	諸
諸	陳
以	備
備	三恪
則	我
我	周
周	之
之	自出
至于	今
今	是
是	賴
桓公	之
之	亂
蔡人	欲
欲	立
立	其
其	出
我	先君
先君	莊公
莊公	奉
奉	五父
五父	而
而	立
立	之
蔡人	殺
殺	之
我	又
又	與
與	蔡人
蔡人	奉戴
奉戴	厲公
至於	莊
宣	皆
皆	我
我	之
之	自立
夏氏	之
之	亂
成公	播蕩
又	我
我	之
之	自
自	入
君	所
所	知
知	也
今	陳
陳	忘
忘	周
周	之
之	大德
蔑	我
我	大惠
棄	我
我	姻親
介恃	楚
楚	眾
以	憑陵
憑陵	我
我	敝邑
不可	億逞
我	是以
是以	有
有	往年
往年	之
之	告
未	獲
獲	成命
則	有
有	我
我	東門
東門	之
之	役
當	陳
陳	隧
隧	者
井堙	木
木	刊
敝邑	大
大	懼
懼	不競
不競	而
而	恥
恥	大姬
天	誘
誘	其
其	衷
啟	敝邑
敝邑	心
陳	知
知	其
其	罪
授手	于
于	我
用	敢
敢	獻功
晉人	曰
何故	侵
侵	小
對	曰
先王	之
之	命
唯	罪
罪	所
所	在
各	致
致	其
其	辟
且	昔
昔	天子
天子	之
之	地
地	一
一	圻
列國	一
一	同
自	是
是	以
以	衰
今	大國
大國	多
多	數
數	圻
圻	矣
若	無
無	侵
侵	小
何以	至
至	焉
晉人	曰
何故	戎服
對	曰
我	先君
先君	武
莊	為
為	平
桓	卿士
城濮	之
之	役
文公	布命
布命	曰
各	復
復	舊職
命	我
我	文公
文公	戎服
戎服	輔
輔	王
以	授
授	楚
楚	捷
不敢	廢
廢	王命
王命	故
故	也
士莊伯	不能
不能	詰
復	於
於	趙文子
文子	曰
其	辭
辭	順
犯	順
乃	受
受	之
子展	相
相	鄭伯
鄭伯	如
如	晉
拜	陳
陳	之
之	功
子西	復
復	伐
伐	陳
陳	及
及	鄭
鄭	平
仲尼	曰
志	有
有	之
言	以
以	足志
文	以
以	足言
不	言
誰	知
知	其
其	志
言	之
之	無文
行	而
而	不
不	遠
晉	為
為	伯
鄭	入
入	陳
非	文辭
文辭	不
不	為
為	功
慎	辭
辭	哉
楚	蔿掩
蔿掩	為
為	司馬
子木	使
使	庀
庀	賦
數	甲兵
蔿掩	書
書	土田
度	山林
鳩	藪澤
辨	京陵
表	淳鹵
數	疆潦
規	偃豬
町	原防
牧	隰皋
井	衍沃
量	入
入	修
修	賦
賦	車
車	籍馬
賦	車兵
甲楯	之
之	數
既	成
以	授
授	子木
禮	也
吳子諸樊	伐
伐	楚
以	報
報	舟師
舟師	之
之	役
門	于
于	巢
巢牛臣	曰
吳王	勇
勇	而
而	輕
若	啟
啟	之
將	親
親	門
我	獲
獲	射
射	之
必	殪
是	君
君	也
也	死
疆	其
其	少
少	安
從	之
吳子	門
門	焉
牛臣	隱
隱	於
於	短墻
短墻	以
以	射
射	之
楚子	以
以	滅
滅	舒鳩
舒鳩	賞
賞	子木
辭	曰
先大夫蔿子	之
之	功
功	也
以	與
與	蔿掩
晉	程鄭
程鄭	卒
子產	始
始	知
知	然明
問	為
為	政
政	焉
對	曰
視	民
民	如
如	子
見	不仁
不仁	者
誅	之
之	如
如	鷹鹯
鷹鹯	之
之	逐
逐	鳥雀
鳥雀	也
子產	喜
以	語
語	子大叔
且	曰
吾	見
見	蔑
蔑	之
之	面
面	而已
今	吾
吾	見
見	其
其	心
心	矣
子大叔	問政
問政	於
於	子產
子產	曰
政	如
如	農功
日夜	思
思	之
思	其
其	始
始	而
而	成
成	其
其	終
朝夕	而
而	行
行	之
行	無
無	越
越	思
如	農
農	之
之	有
有	畔
其	過
過	鮮
鮮	矣
衛獻公	自
自	夷儀
夷儀	使
使	與
與	甯喜
甯喜	言
甯喜	許
許	之
大叔文子	聞
聞	之
我	躬
躬	不
不	說
皇	恤
恤	我
我	後
甯子	可
可	謂
謂	不
不	恤
恤	其
其	後
後	矣
將	可
可	乎哉
殆	必
必	不可
君子	久
久	行
思	其
其	終
終	也
思	其
其	復
復	也
書	曰
慎始	而
而	敬
敬	終
終	以
以	不
不	困
夙夜	匪
匪	解
以	事
事	一
一	人
今	甯子
甯子	視
視	君
君	不
不	如
如	弈棋
其	何以
何以	免
免	乎
弈	者
者	舉
舉	棋
棋	不
不	定
不勝	其
其	耦
而況	置
置	君
君	而
而	弗
弗	定
定	乎
必	不免
不免	矣
九世	之
之	卿族
一舉	而
而	滅
滅	之
可	哀
哀	也哉
會	于
于	夷儀
夷儀	之
之	歲
齊人	城
城	郟
其	五月
晉	為
為	成
晉	韓起
韓起	如
如	秦
秦	蒞盟
秦	伯車
伯車	如
如	晉
晉	蒞盟
成	而
而	不結
秦伯	之
之	弟
弟	鍼
鍼	如
如	晉
晉	修
修	成
叔向	命
命	召
召	行人
行人	子員
行人	子朱
子朱	曰
朱	也
也	當御
三	云
叔向	不
不	應
子朱	怒
班爵	同
何以	黜
黜	朱
朱	於
於	朝
撫劍	從
從	之
叔向	曰
晉	不
不	和
和	久
久	矣
今日	之
之	事
幸而	集
晉國	賴
賴	之
三軍	暴骨
子員	道
道	二
二	國
國	之
之	言
言	無私
子常	易
易	之
奸	以
以	事
事	君
君	者
吾	所
所	能
能	御
御	也
拂衣	從
從	之
人	救
救	之
平公	曰
晉	其
其	庶
庶	乎
吾	臣
臣	之
之	所
所	爭
爭	者
者	大
師曠	曰
公室	懼
懼	卑
臣	不
不	心競
心競	而
而	力爭
不	務德
務德	而
而	爭
爭	善
私欲	已
已	侈
能	無
無	卑
卑	乎
衛獻公	使
使	子鮮
子鮮	為
為	復
敬姒	強
強	命
命	之
對	曰
君	無信
臣	懼
懼	不免
敬姒	曰
雖	然
以	吾
吾	故
故	也
獻公	使
使	與
與	甯喜
甯喜	言
甯喜	曰
必	子鮮
子鮮	在
不	然
必	敗
故	公
公	使
使	子鮮
子鮮	不
不	獲命
獲命	於
於	敬姒
以	公命
公命	與
與	甯喜
甯喜	言
茍	反
政	由
由	甯氏
祭	則
則	寡人
甯喜	告
告	蘧伯玉
伯玉	曰
瑗	不得
不得	聞
聞	君
君	之
之	出
敢	聞
聞	其
其	入
遂	行
從	近關
近關	出
告	右宰穀
右宰穀	曰
不	可
獲罪	於
於	兩
兩	君
天下	誰
誰	畜
畜	之
悼子	曰
吾	受命
受命	於
於	先人
不	可以
可以	貳
穀	曰
我	請
請	使
使	焉
焉	而
而	觀
觀	之
遂	見
見	公
公	於
於	夷儀
君	淹恤
淹恤	在
在	外
外	十二
十二	年
年	矣
而	無
無	憂色
亦	無
無	寬言
猶	夫
夫	人
人	也
若	不已
死	無日
無日	矣
悼子	曰
子鮮	在
右宰穀	曰
子鮮	在
何	益
多	而
而	能
能	亡
於	我
我	何
何	為
悼子	曰
雖	然
不	可以
可以	已
孫文子	在
在	戚
孫嘉	聘
聘	於
於	齊
孫襄	居守
二月	庚寅
右宰穀	伐
伐	孫氏
伯國	傷
甯子	出舍
出舍	於
於	郊
伯國	死
孫氏	夜
夜	哭
國人	召
召	甯子
甯子	復
復	攻
攻	孫氏
克	之
殺	子叔
子叔	及
及	太子角
書	曰
甯喜	弒
弒	其
其	君
君	剽
言	罪
罪	之
之	在
在	甯氏
甯氏	也
孫林父	以
以	戚
戚	如
如	晉
書	曰
入	于
于	戚
戚	以
以	叛
罪	孫氏
孫氏	也
臣	之
之	祿
君	實
實	有
有	之
義	則
則	進
否則	奉身
奉身	而
而	退
專	祿
祿	以
以	周旋
戮	也
衛侯	入
書	曰
復	歸
國	納
納	之
之	也
大夫	逆
逆	於
於	竟
竟	者
執	其
其	手
手	而
而	與
與	之
之	言
道	逆
逆	者
自	車
車	揖
揖	之
逆	於
於	門
門	者
頷	之
之	而已
公	至
使	讓
讓	大叔文子
大叔文子	曰
寡人	淹恤
淹恤	在
在	外
二三子	皆
皆	使
使	寡人
寡人	朝夕
朝夕	聞
聞	衛國
衛國	之
之	言
吾子	獨
獨	不
不	在
在	寡人
古人	有
有	言
言	曰
非	所
所	怨
勿	怨
寡人	怨
怨	矣
對	曰
臣	知
知	罪
罪	矣
臣	不佞
不能	負
負	羈紲
羈紲	以
以	從
從	捍
捍	牧圉
臣	之
之	罪
罪	一
一	也
有	出
出	者
有	居
居	者
臣	不能
不能	貳
通	外
外	內
內	之
之	言
言	以
以	事
事	君
臣	之
之	罪
罪	二
二	也
有	二
二	罪
敢	忘
忘	其
其	死
乃	行
從	近關
近關	出
公	使
使	止
止	之
衛人	侵
侵	戚
戚	東鄙
孫氏	愬
愬	于
于	晉
晉	戍
戍	茅氏
殖綽	伐
伐	茅氏
殺	晉戍
晉戍	三百
三百	人
孫蒯	追
追	之
弗	敢
敢	擊
文子	曰
厲	之
之	不如
遂	從
從	衛師
敗	之
之	圉
雍鉏	獲
獲	殖綽
復	愬
愬	于
于	晉
鄭伯	賞
賞	入
入	陳
陳	之
之	功
三月	甲寅
甲寅	朔
享	子展
賜	之
之	先路
先路	三命
三命	之
之	服
先	八
八	邑
賜	子產
子產	次路
次路	再命
再命	之
之	服
先	六
六	邑
子產	辭
辭	邑
自	上
上	以下
降殺	以
以	兩
禮	也
臣	之
之	位
位	在
在	四
且	子展
子展	之
之	功
功	也
臣	不敢
不敢	及
及	賞
賞	禮
請	辭
辭	邑
公	固
固	予
予	之
乃	受
受	三
三	邑
公孫揮	曰
子產	其
其	將
將	知政
知政	矣
讓	不
不	失禮
晉人	為
為	孫氏
孫氏	故
召	諸侯
將	以
以	討
討	衛
衛	也
中行穆子	來
來	聘
召	公
公	也
秦人	侵
侵	吳
及	雩婁
聞	吳
吳	有
有	備
備	而
而	還
遂	侵
侵	鄭
至	于
于	城麇
鄭	皇頡
皇頡	戍
戍	之
與	楚師
楚師	戰
穿封戌	囚
囚	皇頡
公子圍	與
與	之
之	爭
爭	之
正	於
於	伯州犁
伯州犁	曰
請	問
問	於
於	囚
乃	立
立	囚
